RATING,TEXT
4, bought simply loved pale lilac color  true cup size  comfortable straps  supportive  'd expect playtex  prefer styles playtex wirefree  regret buying color alone !
4, like bali platex bras  like prices 
1, bra extremely itchy point stick piece kleenex back strap complete day wearing  'm returning 
5, pregnant twins  gained 40 pounds belly  birth  abdominal muscles back muscles weak  still looked pregnant  wore size medium less week  needed small  within days could velcro small tightest levels provided support needed flatten tummy provide back support  enjoy wearing gives extra level confidence  also belly shield  prefer wear th bandit fitted tank shirt  'm back size 4 two weeks twins  pre-pregnancy weight feel like look pretty good ! : )
2, recently bought two bras flesh color  've worn style years  new ones fabric stiff  even 3 washings  itch scratch across shoulder blades back  've taken wearing inside ! \nnot happy !
3, first  top adorable ! ! love texture body slight woven texture sleeves well  usually l xl  top structured ( still soft comfortable ) 's forgiving size  getting top oversized extremely baggy sloppy looking  first got xl reordered l body fits great  's close fitting hides imperfections  hpwever  sleeves way short ( size xl well )  reference im 5 ' 8\
3, think may bought wrong size although follow chart  bra makes breasts uniboob  rides rolls around ribs 
5, beautiful dress ligth  elegant true 's sizehad alot compliments brought 5 dresses ( sisters ) wore mother 's 90th birthday celebration  dress blast party 
2, purchased hoping wear straps crossed back  's way would work  straps long enough ! ! wear normal  sticks sides  return  plus pay return shipping !
3, purchased bali passion comfort seamless minimizer years recently decided go 34 36 comfort back  disappointed cup size ( ddd ) also larger  longer smooth comfortable fit  guess gone cup  unfortunatlly disposed wrappings & laundred tried would returned  back dreaded \
2, \
2, wore one time amazing ! cute comfortable ! washed like says tag  tumble dry low  pants shrunk least 3-4 inches ! wear almost hanging butt order long enough ! want palazzo pants  get ! may adorable  'm sure much better palazzo pants wo give much trouble ! !
2, bra chemical type smell come washed  fit ok & comfortable  alot support  returning 
1, runs large  super disappointed
3, ordering bali bras years  seem thinner material cups supportive  would recommend however anyone wearing 40b straps elastic sizes  larger sizes elastic straps stay ! ! ! feel bra diminished quality last couple years  'm disappointed find something else work 
4, able use belly belt first 7 months pregnancy buy maternity pants ! 7 months  harder hide zipper part jeans without longer shirt  overall  great investment  least first half pregnancy 
5, happy purchased leggings - comfortable pregnancy accessory far ! great wear skirts/dresses tshirt hanging around house - super comfortable ! 'm 5 ' 5\
1, 'll start saying 'm 5 ' 8\
5, product gave much freedom ( still ) ! know ever lived without !
2, leggings comfortable  'm 4 months pregnant  ca even imagine wearing get bigger  pre-pregnancy size 4 purchased leggings small small- tight 
4, love long sleeve tee shirts  every day go top  nice alone easy layer sweater  sleeves run tighter color 
1, never even got wear  returning promptly  washed bled terribly  obviously manufacturing set fabric correctly  disappointed pajamas  thought really cute  bad 
2, returning bra fit properly  bali purchase size fits perfectly 
1, bloody awful  got wash twice gentle cycle already 're full holes  much style comfort  got wear twice look like standing close fire already  swiss cheese pants !
2, favorite bra longer available  took chance one  ordered usual size ( 34d ) cups small  hate spilling would return cost effective  otherwise  seems okay  cups soft smooth  think would better 3 hooks 
2, bra pretty  nearly comfortable comfort revolution bra thin foam lining  would purchase style 
3, cups big  ordered 34 b wear hanes cross heart  guess understand moulded cup  otherwise looks like hold lot wear 
5, long sleeve tee 'll wear !
4, bought bra loved itwill definitely purchase 
1, bought jacket size store black loved  ordered online grey blue  despite labeled xxl jacket small  could even close jacket zip 
1, purchased 3 bras cup size correct  person big around mean cup size bigger  b 's bali design 
4, runs little small beautiful
1, cup strange shape  \
1, poor quality comparison merona coverup purchased  shredding received  really care either  flattering fit strange 
3, bought bra dreaming comfort support  bra good coverage support larger bust 
5, product wonders  happy ordered !
2, wear 34a bra medium way small  could barely fasten lower hook fastening upper hook impossible  fastened entirely tight  comfortable 
4, super casual & cute look big returning it\nfyi  small-medium sized head small forehead 
5, great price ! great shirt !
4, love kimno ! ! ! long floor length ! see threw love lace back ! wear jeans yoga pants
1, cushion-y  good
4, read reviews followed advise  purchased size smaller love  first time wearing  feel may stretch day  time tell  ask bargain 
4, bought dress new years eve  thankfully  ordered month early  send dress back twice size  small girl ; usually wear 18-20/2x  tend buy 20 dresses wear  said  initially purchased dress 20  arrived house tried  ridiculously large  looked really baggy boxy chest area ( normal thing experience 44ds )  due large  dress kind    shape life all\ni returned dress sized 18 second dress arrived  tried  still pretty baggy  shape improved  lot flattering 20  definitely still large\ni ultimately ended fitting nicely size 16  absolutely love way dress looks red shoe red lip\n\nmoral story : plan purchase dress  plan size least one size 
1, disappointed bra  uncomfortable\ni purchased bali past surprised ill fitting
1, purchased 4 bras thoroughly disappointed  great bras support  36 g wearing bras like bra less  return 3 unworn
3, straps narrow even though fabric moves support claimed  like leisure bra use  wo order another style 
2, bought 2nd baby ( c-section )  's bad  seems work well  cover much area thought  used exactly instructed first  creases developed kept folding making uncomfortable  even washing/cleaning  creases remained & continues fold many areas  longer wear much due & constantly unfold adjust  bummed spent much money 
2, disappointed bras  enough support  returned 
5, 've tried 'm happy vintage look size t-shirt  worn yet  believe happy  's bit see thru average t-shirts 'm okay  people might ? think gives plan white t-shirt bit sexiness  's opinion  thinness actually gives shirt almost marbled effect dresses bit  think effect quality washed worn yet  think material hold well though 
4, 5 ' 6\
1, wish would bought band size bigger  38ddd  tight around ribs  digs little  wish would tried order 40ddd little extra room 
4, wearing bra many years  reason try another  first bought style  told popular selling bra ever know  t-shirt moniker means invisible anything wear support never lets  starts bit snug quickly gets comfortable stays way long time  near end life  bit stretched one wire poke maybe two dozen different colors years  bra ever able wear day  ever stop making maidenform !
5, makes pumping life much easier  would 've stopped pumping long without bra  32b pre-baby  34c post baby ordered small  little tight first want tight stretch bit need tight order keep pump suctioned stay 
3, found cups smaller straps kept falling shoulders far apart 
3, buying bra style years  past year  trouble bra straps slipping  bought 4 bras time  straps slip 2  little research bra straps slip  believe straps set far apart across back  really wish would move little closer avoid problem  like everything else bra  purchased little strap hooks onto back bra holds straps closer together slip 
2, leggings received look like picture  thin underwear lines clearly seen without even bending ! way could wear go commando  enthusiastic  's pity getting returned 
5, honest  think support band would help much  really problem back pain pregnancies one bring third pregnancy nurse working 12 hour shifts  back taking beating  started wearing support band work helped tremendously  without using band  would excruciating pain  used band  would little bit discomfort  \n\nthe author review received free sample product 
4, absolutely love bra  borderline cup bra fits better regular bras  outstanding job lifting separating even better job creating cleveage  worn correctly  product amazing job transforming itty bittys gorgeous looking ta tas  \n\namazed adhesive remains sticky purchased summer 2010\n\nthe reason 'm giving product overall rating five stars product come color black  crucial especially us women color  dark women require black bras worn underneath white light color tops dresses 
3, first time 've bought minimizer  make shirts less tight  sort make breasts look bigger larger diameter  's ok  bad  fantastic 
1, give 1 star 's pretty print however worth dollar  fact run small  suggest going 2 sizes cut small & 1 wash shrinks entire size  allowed air dry still shrunk  trash 's extremely small  waste money 
4, bra grab want really pretty silhouette  makes even 34dd 's perky ! however  's 18-hour bra  's really even 10 hour bra  awhile  starts digging skin bust underarms  leaving red welts\n\ni 've tried loosening band  using extender  support well  let 's face  support heavy chest  band tight enough move  one  's tight enough  leaves marks late day\n\nthat said  still would order  perky-factor alone 
5, cant imagine pumping without  allows hands free  use laptop  eat  etc  good one spare one wash 
4, love bras hope arent discontinued ! ordered grape color like lilac 
1, obviously looking something would allow pump hands free perfect ! size 34 got size medium ! fits perfectly  also washed dried bustier still fits perfectly ! say first time put terrible time zipper  since first initial wearing issues ! love bustier ! ! ! : )
4, like t fabric comfortable & fit well  elbow sleeves good 
3, flip-flop light weighted  nice looking  sparkly bad smell  bought large size  fits size 9  10  11 fit size 12 medium width flip-flops wide thick tall feet  ww  label width printed  wear home thick socks need careful trip wide  ordered white sole  white carpet  sole 9/8 inch thick  rated three stars poor product description target website  person listed product respect target customers 
4, 'm fourth day wearing original belly bandit  love thing ! 'm sure 's helping get pre pregnant belly size faster ( first baby )  's crazy much comfortable feel wear  holds everything place try care newborn things around house  complaint 's conspicuous clothes  'm really going anywhere anything tshirts right anyway  recommend belly bandit pregnant friends 
2, cup coverage excellent  \
5, first weeks newborn overwhelming  seems barely find time anything pump breastfeed  bra able something basic-eat ! seems silly  newborn multi-tasking best friend  loved bra even got one sister law  bra well adjusted ensures secure fit lose liquid god 
2, wear 42 d nice comfortable bra straps slide keep shortening  much would like bra hold  thin straps work bra  nice bra though\ni guess ca expect miracles cheap bras 
1, variety bali brand bras  love style want heavier  light foam-lined cup  style lightweight looks great t-shirt knits 
2, bali bras always go-to correct sizing -- except order  recently fitted store determined usual size 34dd small  bra ordered  32ddd  however  far large cup size  comparison one purchased store  ordered 34dd instead  least style bra  features quite nice like style  order different size next time 
4, love tee style  runs bit small 
2, bra would great petite body small breasts irritating plastic attachment straps cups front  sides bothered discard bra two days wear 
2, buy bra comes black size  however  last bought lasted  several wash wears cups start losing shape  usually near middle  nipple area  every months forced buy  wish jms offered bra 's came colors sizes  worn jms many years favorites discontinued  see less less choice  disturbing simply forces buy another brand 
2, bout less month ago  first time washed strap broke  plastic piece tightens loosens snapped half 
1, print five ! hate knit fabric  buy 100 % cotton nick & nora pjs regularly  thought ordering  arrived synthetic fabric  promptly returned  target  thinking ? cotton expensive $ 2999 price point  charge  would still great value  live humid south florida wear synthetic fabrics !
5, lot shopping around best price highest rated bra pumping  great reviews worried one size fits  bra perfect  comfy easy use  zipper high quality unlike others  allows good suction pumping 
1, worst bra ever  returning asap  bother
2, leggings received look like picture  thin underwear lines clearly seen without even bending ! way could wear go commando  enthusiastic  's pity getting returned 
4, love length colors  thought quality fabric good  expected xxl fit like women 's size 1x  tight across bust run comfortably  also snug belly  1x got different store nice quality wise  bit shorter- tights friendly-but feel self conscious fit top middle  sorry make trade 
1, ordered bra great experience non-shaping version ordered size ( 36c = small )  're 36c  order small  fits like 34 even 32 -- could even get closed  version diamond pattern true size comfortable 
1, ordered size usually would  bra tight  usually keep bras tightest hooks  bra barely fit loosest hooks  even worse  cups cone shape instead rounded  maybe 'm weird one  cones chest ! returned immediately 
3, usually get great fit  underwire one chafes arms pokes front instead lying flat  looks great picture fit like 
1, bought 2 usual size  never tried style though  tried  yes  pointy  also large cups close together  fit really weirdly 
3, first wirefree bra 20 years  bra comfortable  cups oddly shaped ( wear dd )  instead natural  rounded shape  suddenly cone-shaped breasts  like twin torpedoes 
2, nice support  worth getting jabbed wires 
5, found online  probably would looked twice store saw person  fits well cute  bought size small  normally wear extra small button brand  extra small tight across back  great purchase wear boots leggings 
2, like synthetic fabric  return 
3, looks nice material nice  's small  try go store order least 1 size bigger normally wear  2 milk comes 
4, love way bra fits soft supports good buy 
1, soft comfortable definitely sheer bend  probably ok walking around wo suitable yoga  bar method  exercise  contemplated doubling  solves problem  seems silly  returning 
2, purchased 2 style bra puckering cups  2 ply cups size  outer layer one side larger inside layer bras  therefore  pucker  disappointed  like seconds  sent back 
5, purchased bandit 5 weeks pp  unfortunately using girdle results previously  within 2 weeks already lost 4 inches waistline ! wish would sooner !
5, nursing bra last baby falling apart \
2, bought month ago along 2 bali wire bras been\nwearing years  bra small overall  even though used size chart order size - 2x supposed fit 44dd  breasts muffin top edges fabric tight around  dissapointed 
2, great hopes bra due straps felt would give big support  ordered 50 dd felt like b c 's  way small unlike bras size 
2, buy bra comes black size  however  last bought lasted  several wash wears cups start losing shape  usually near middle  nipple area  every months forced buy  wish jms offered bra 's came colors sizes  worn jms many years favorites discontinued  see less less choice  disturbing simply forces buy another brand 
2, nice color feel  isnt roomy playtex bras  ordering would go size larger  also straps could made softer material  top  could cut shoulders 
4, would great made 3x  bought 2x 1 fits smaller  usually 38 
2, wore 3472 years discontinued  informed closest match  admit hoping something little closer used wear  'm sure 's difference way bra made change sizing another reviewer mentioned  bra simply fit predecessors did\n\ni 'm also disappointed check return policy carefully  've spoiled amazon 's great returns  expect charged 3x intial shipping cost return shipping  's unfortunate  still ca keep ill-fitting bras  'm afraid 'll start scratch looking new bras 
5, returned work yet  help tremendously ! would also like think using bustier also helps get milk versus holding hands ! plus arms get tired !
5, love every single thing trousers ! fit  length  price  material  absolutely everything  wear 10 petite ann taylor loft  size 10 fit perfectly\ni returned store buy wearing few\nmoments  hope continue see clothing quality fair price future  good job target !
4, like shirt  long enough wear leggings loose flattering fitthe thing material ( cotton-ish ) little heavier expected little scratchy  totally fine fitted tank underneath  itchy ( even several washes )
3, 'm 36c nursing bras wear medium according size chart  way small ! zipper also really bad design something needs fit tightly  bra snaps front instead  material really nice despite design flaws 
3, decent fit coverage  material little cheap side offer whole lot stretch support  moving around swim top could lead little unplanned exposure  good price d+ sized swim top though  difficult find 
4, used belly bandit baby boy  liked held everything place  little uncomfortable first velcro little bulky wear baggy clothes would noticeable wearing one   belly shrank size pretty fast 'm glad bought one  probably bought two long needed smaller size 
5, bought belly support backpain product helped lot ! need belly band relief pain help heavy belly definitely recommend ! good deal price  cold/hot option back useful  agree runs bit big sometimes moves overall 's must wardrobe !
3, ordered bali 24636 -- - went size chart  normally wear 42d  got xl awesome bra  fits snug comfortable besooo   please make 2x give 5 stars : )
4, tried many brand bras past\nbut none fits goods bali 
2, purchased sister raved pregnant  said comfortable pants wore time  ran purchased pair s/m second trimester  definitely comfortable stay  continue pull time would slip  i wear size 2/4 pre-pregnancy may run large  unfortunately fan pants 
3, beautiful skirt  lovely material style  waist runs small  ordered two colors one even smaller  order 1 size ! ! ! !
3, like bra  really comfortable  \
3, breast hanging side bra  bra like fit perfectly fine  maybe reject  'm returning larger cup size 
3, several bras either white beige  finally found different colors  downside 's padded molded cup  good support though 
4, bra beautiful supportive  although \
5, used 1st time work makes pumping work much comfortable  actually able enjoy pump break reading pages great book  time read book fun forever  product true size ( cusp small large  ordered small like chart said ) comfortable  going recommend everyone know pumping ! ! !
3, 've wearing model bali bra number years always liked  past couple years 've noticed band around chest loses stretchability almost first washing  wash warm hang dry  another oddity keep stretch better others  please consistency ?
5, happy tummy support band  however  bought s/m first based pre-pregnancy size  typically medium  5 ' 5\
1, return one ! full-figured gal  bra straps slim  tried adjusting  dug hurt  could wear bra minutes  : ( (
4, nice beanie work well cold outside  thick fleece liner  need beanie thick warm  'm keeping beanie  buying beanie think warm  well made looks good 
1, bought two t-shirt bras cups small  breasts falling cups  know bra size got measured weeks ago  needed basic black bra disappointed 
5, started horrible lower back pain around month 6-7 pregnancy  able go grocery shopping without almost crippled walking like penguin hurting bad  purchased band earlier month  fell love ! whenever back pain situation know end back pain  put baby ! relieves pain already completely prevents pain would usually get\nway worth every penny ! tried least 10 brands comfortable showed least clothes : )
2, bought thinking tech gloves gloves barely work iphone ipad  looking gloves use instance  want search elsewhere  additionally  gloves come sort small hole thumb index finger  ca probably avoid material  probably would buy 's pointless type gloves ca use phone ipad 
1, uncomfortable  bottom rides straps stay constantly adjusting
4, first bought store  loved irdered line !
2, 5 ' 3\
1, dress shapeless unflatteringit short legth 
3, hopeful bra would finally \
3, wish 'd bought 1  it 's comfortable fit 's probably get try purchasing  that 's downside ordering online 
3, found bra bit stiff cup funny insert bottom cut breast gave funny shape  fair  may needed bigger size  returned 
1, leggings soft well made - would stay  comfortable need readjust every 2 minutes !
4, great fit cups back offers good support stays full-busted\nhowever  comfort features straps dig shoulders  padding closure even tagless information\nthat makes good bra  great bra 
1, tried bra returning today  matter fact  keep straps shoulders  adjusted max still luck 
4, awesome thing bra 's expandable  actually comes two pieces expand right size  side  even 's longest still feels little tight 38b postpartum  \n\nit works great hold pump flanges hands free pumping take care baby pumping ( whatever else need )  fabric nice soft feel like 's ripping skin  also like comes optional straps worn multiple ways 
3, sure one  impossible find size  34g  bought 36g  fit pretty good although gives \
3, searching bra slip shoulder  broken collar bone need bra straps set wide  one might work straps long shorten enough  also need minimiser  someone suggest bra work ?
5, started grow pants 3 months  'm 8 months maternity band still going strong  maternity pants expensive  great alternative 
4, thin waffle knit found store  unusual colors softer feel fabric  gorgeous sea ship blue one  instance  scratchy neckline looked little uneven  olive  gray  maroon ( really lavenderish purple ) soft  touch colors - sorry ! purchased olive ( woody green ) store  ordered maroon one online  color swatches names matching right !
4, comfortable jeans every owned  5 ' 6\
3, find pants comfortable  fun fabric sturdy beginning ball three washes  cut nice love decent-sized pockets 
2, ordered item wanted straps sewn back  returned immediately saw cups made  one much thinner lining  like discontinued style previously purchased keeps smooth appearance temperatures know mean 
4, material soft comfortable  however  top true 3x  top fit  small  pants perfect fit 
1, bought 2 bras seams cups came apart\nthis happened within first month wearing  thought would last longer month   
2, size range  straps offer enough adjustment  take apart re-sew straps adjust fit\nthe fabric thin flimsy  product offer much support\n\nbali 's offer quality bras category\nexample : style : 13837 ( good )
3, support needed good product\n\ni hoping cotton bra wires  wear product  shortly dressing  normal walking around  bending etc eg normal activity  falling bottom product massively uncomfortable 
5, perfect maternity tanks  wear everything  super stretchy  long enough cover long bump  super comfortable  buy every color  new go-to shirt  think even great pregnancy  ca recommend enough ! !
4, love top  unfortunately  bottoms sold  please bring back stock ! 'm 5 ' 3  107 pounds 32  ordered xs xs extremely small tight  weird  suggest sizing 
3, hat warm comfy  recycled  's fall  get sweater fuzz couple wears ( still worth  warning ) button area sticks much care  hat would much better without 
2, fit okay 5 inches long  1 inch shorter regular length 
2, bra stretches lot  's comfortable month wear stretched unable continue wear 
3, vest way long petites  unless fan longer length  unfortunately  return  would recommend taller women 
1, bra extremely itchy point stick piece kleenex back strap complete day wearing  'm returning 
2, typically wear size 4 levis  tried 4 would stay  2 fit well  slightly loose  baggy  needed belt  one wash extremely tight ( although waist finally fit ! ) flattering anymore- returning !
4, worn month love find cup size little larger used 
5, love ease pumping  times without make appreciate !
1, bought two bras beginning summer  first one ripped underside net-like material  replaced  thing happened second one  would recommend bra  rips middle  ca worn 
5, bra makes comfortable easy pump  bra seem get lot milk pumped search phone play baby pumping seem get lot mind something else relaxed  buy bra want make life little easier 
3, loves : love fact little 'chill ' midst arizona summer  therapearl pack feels amazing giving relief basic discomforts pregnancy also relief heat  also like fabric bobby tummy support band  thin  soft stretchythe support gives great well  \nproblems : typically wear size 12 m/l  with 28 week pregnant belly tight almost fiti assumed would fit quite well size l wear ( non-pregnant pregnant )  velcro also bothersome think wearing larger size would much hindrance/annoyance  \noverall : rate product 3 stars ! typically indulge things comfort  product   purely comfort truly enjoy chill lower back 'pregnant summer '  definitely something able withstand years use  continue use even baby ! \n\nthe author review received free sample product 
2, wish 'd read reviews ordering : ( 've worn hi cuts years loved  run significantly smaller : ( bought 2 dozen none fit  terribly disappointed  quality good  fit 
1, leggings soft well made - would stay  comfortable need readjust every 2 minutes !
2, nice fuchsia  fits first put  'm 34b  ordered small  small pushes breasts together minutes  everything squishing  probably would good teenage 34b  might try medium 
3, really love chemise washed  shrunk like crazy ! 'm talking several inches shorter laundering recommended tag  going return repurchase size larger hoping 's washed fit right way 
5, bought two months ago life saver  work 12 hour shifts could survived without  great support !
2, way low legs top cups way thin  actually see anyone wants see  recommend suit 
3, wearing bra almost 20 years !  obviously love  two complaints  # 1  colors available sizes ! 's pretty awful discriminated \
5, 'm assuming negative reviews referring old image  received looked exactly pictured  ombre tight fades ankle  love  although need buy size larger usual avoid see-through rear end effect 
1, bra large busted women  straps small  bra overall offers little support see side smoothing bra claims provide  material thin  sent back
5, every pregnant woman pair  fact  come five different colors  comfortable wear  'll realize point wearing uncomfortable khaki pants pregnant lady 
1, buying bra years  size  34d\na recent order arrived  although marked 34d  \nthe cup 2 sizes small  'm assuming sort of\nmislabeling defect  wearable  all\nbe going back  bad  great buy 
4, give idea size  'm 5 ' 5 36c  medium fit  squeezed little much  ended ordering large  love suit much !
5, nursing bra last baby falling apart \
5, exclusively breastfeeding 12 weeks  go back work  ordered hands free bra first day back job  frustrating able move pumping  worried fit  plus sized woman  bustier fits well  although think going wear day  definitely \
4, love bra  perfect fit one minimizer bras come size 32 've bought nude  black  white buy new colors offered  complaint wish coverage  still  great bra 
1, received bra  fabric verrrry thin  nipples poke 
5, bra may attractive appearance  makes function  openings cups provide great support breast pump flanges  adjustable velcro back ensures great comfort fit  even body changes back 's pre-pregnancy state  best  hands free tackle tasks pumping ! true asset multi-tasking women !
1, matter  could get fit right  bust part small side & black band  bottom way big  could make tight enough  1 inch gap  bust ( fabric & skin ) & top wanted ride  's super cute & really wanted fit 
1, disappointed bra  uncomfortable\ni purchased bali past surprised ill fitting
1, extra fabric cups rolls  center sticks forward instead laying flat chest  sent back 
3, love everything bra exception straps  short 
5, flattering ! \nlove color !
4, 've worn bra years  replace quite often lining tears sides hold  lace begins strings  wish sides made sturdier material 
2, two stars nothing actually defective bra came time  however  bra extreamly pointy  almost bullet bra like  whos breasts actually shaped like cone ? much extra room skin point bra  id embarrissed wear front anyone ! also runs big ( maybe help nursing moms forget account growing breasts ) weird shape support 
5, got wear around upper waist flowy tops dresses  's really cute looks expensive  adds instant style anything 
2, bought many bras really like fit comfort underwire small cup size plastic snaps half inopportune times  happens anywhere 2 months use 5 months use happened every one bought  time find new brand !
1, although description led believe bra would offer sufficient support without underwire  found useless comfortable bra sleep  offers support cup sizes 
5, purchased clearance happy top  's thin material brillant orange color wanted  runs bit large flowy  if 's word !
1, fit support  pretty right 
2, wore one time amazing ! cute comfortable ! washed like says tag  tumble dry low  pants shrunk least 3-4 inches ! wear almost hanging butt order long enough ! want palazzo pants  get ! may adorable  'm sure much better palazzo pants wo give much trouble ! !
5, soft comfortable ! 3 
4, wearing bra past several years  love support gives wearing forms  straps stay place great bra 
4, fell love jacket saw  love color look  issue length sleeves  'm 5 ' 8\
1, bought two hoping decent support  disappointed  32d ordered small fit fine  almost total lack support  guess use evening home alone pajamas 
1, one side padding came deformed  tried mold back shape  luck 
1, bra huge disappointment  like pointed \
4, purchased bali bras many years good bras  however  bought 2 style size one much tighter  aware run little small  still like made well 
3, cups small ; smaller size comparable product 
2, thought rubber waist band wider really 1/4 inch plus seams sewn straight 
5, love pants  comfortable  wish different colors  want wear everyday 
2, expected  comfortable support enough 
2, description state demi  received  fit expected  wanted full coverage  5 ft 6 inches  32  145 lbs  size 6 cups set far apart barely cover areola  coverage  fine husband   would wear couple hours date night certain clothes  bought lift hoping maintain perkiness  increase size  needs 
4, like would order prefer wider support underarm sections style ; tried since afford mastectomy bras \
2, love fact pump without hands zipper terrible ! takes almost long try zip without zipper splitting pump 
1, uncomfortable support  could bought sports bra
4, recommend bra small waisted  heavy busted women 
1, wore bra twice ripped  never problem bras purchased surprised ripped 
5, love shirt helps got $ 3
1, like another comment said  tried pajamas store fit great  took home  washed  tried shrunk ! noticeable difference size  really wanted like pajamas material soft hate shrunk 
3, love everything bra except straps  adjusted seem short  wearing short  bra seems hike 'm constantly pulling back  think ordering one size solve problem  'm disappointed 
3, purchased 3 highly recommended ! arrived good time  tried one fit great-so washed  come find marked size large two must mis sized wrong smaller one  like order line cheaper store sizes arent consistent need try store  disappointed 
4, ordered week daughter  unfortunately unable nurse  however  wear around house super comfortable  may even use workout bra fits similarly sports bra 
1, first issue shirt ribbed tee  maybe didnt read complete description purchased  remember detail purchased  could deal ribbed  shirt wrong  sleeves short  order look right  need roll sleeves  also  shirt short  constantly pull get stay  ever happened mossimo long sleeved tees years ago ? ? ? bring back ! ! !
1, soft comfortable definitely sheer bend  probably ok walking around wo suitable yoga  bar method  exercise  contemplated doubling  solves problem  seems silly  returning 
1, 4th one bras purchased last years  prior ones great  \
1, socks slip feet first wear wash 
4, great pjama set  fabric soft fits well  complaint wish set mid-length pant option 
4, whether bike riding stuff around house  new go pants  expected slightly longer based picture  prepared 'just past knee ' length name  perfect amount stretch help hold everything !
2, 'm fan bali 's double support styles  one fabric stiff band scratchy  contrary description  cups stretchy  forgiving fit precisely cups -- problem breasts different sizes  bad one great range colors  sent back one hopefully fits better  without much color choice 
3, love idea  work  's soft stays put  $ 30 think 'd put durable zipper someone take & 3 times day  3 months ! 's like 'm abusing thing 'm large woman 
1, really thought bra would really fit well  wrong ! large woman need big band size  however  need a-b cup  bra would perfect company would adjust cup size going back 
1, could get thing claps put  knew would fight wear would end drawer forever  took ( bought two ) back store
1, bought size 8  runs big  hips size 12 true size 
3, recently purchased belleshield bamboo bandit say although product works well  poor quality  worn shield bandit total 7 times shield torn seams clasps ( due size ordered  promise )  wrap also long torso bends clothes  unless wear loose top  clearly visible clothes  said  product work  wish little higher quality 
4, fits advertised  shopping easy  comfort acceptable large size minimizer bra
2, ability pump hands free fantastic  however  bra cheaply made made mad satisfied  less week zipper first broke  've fixed zipper numerous times since  clasp something help hold together zipping  better alternative  take 
4, finally bra covers  always want cleavage bearing bras  ya know ? comfortable beyond belief nice support  soft lilac color pretty : )
4, extremely nice material  soft stretchy  reason got four stars instead five enough support large heavy breasts  think order size would help support material stretchy enough would still fit trunk body 
1, leggings received seen picture  fading lines  instead fades onto plain grey color  although still look ok  bit disappointed since ordered due unique fading lines 
4, looking something fun wear pool playing son would stay put get dragged front  flattering sexy back without age-inappropriate ( 'm 40s )  'm 5 ' 6\
3, bought 2 based sizing chart one fits perfectly wont even clasp back ( small ) 'm sure order next medium large ? hmmmm
1, bought returned  'm currently waiting exchange  've wearing satin tracings minimizer type bra 33 years never gotten defective cut  quite distorted fit  weight adult always  'm sure got oddball  god bless 
